STUD ID   STUDENT ANSWERS          SCORE/40       PERCENT        GRADE
110893    BCEAEEDDCEAACEE CCDB     33/40          82.50          B    
116303    BCEAEEDDCEAACCA DCAB     34/40          85.00          B    
127109    BCEAEEDDCEAAEAEAAEEB     34/40          85.00          B    
131361    BCEAEEDDCEAABBCDDCCB     36/40          90.00          A    
128489    BCEAEEDDCEAAAACADBEB     33/40          82.50          B    
103831    BCEAEEDDCEAADACADCAB     34/40          85.00          B    
121945    BCEAEEDDCEAAC AECEBB     32/40          80.00          B    
112722    BCEAEEDDCEAADBCBCBAB     34/40          85.00          B    
103959    BCEAAABBCEAADCCA DEB     29/40          72.50          C    
113971    BCEAEEDDCEAABDBD EDB     34/40          85.00          B    
130212    BCEAEEDDCEAAAEBDCDCB     35/40          87.50          B    
108380    BCEAEEDDCEAA CBDB EB     33/40          82.50          B    
123073    BCEAEEDDCEAABCEDBEDB     35/40          87.50          B    
112941    BCEAEEDDCEAA BBA AAB     32/40          80.00          B    
105071    BCEAEEDDCEAAEBEDDAAB     33/40          82.50          B    
132168    BCEAEEDDCEAACBDACDBB     33/40          82.50          B    
104686    BCEAEEDDCEAAABADEEEB     33/40          82.50          B    
129421    BCEAEEDDCEAABEBDAADB     36/40          90.00          A    
127681    BCEAEEDDCEAAEDEECDDB     33/40          82.50          B    
129309    BCEAEEDDCEAAE CC D B     30/40          75.00          C    
128423    BCEAEEDDCEAADEDBDBCB     35/40          87.50          B    
123481    BCEAEEDDCEAAA ECCD B     31/40          77.50          C    
112290    BCEAEEDDCEAACECDBBAB     33/40          82.50          B    
107491    BCEAEEDDCEAAA B   EB     30/40          75.00          C    
106995    AAAAABBBBBBCCCCCCDDD     22/40          55.00          F    
117659    BCEAEEDDCEAAEBEECDEB     33/40          82.50          B    
101146    BCEAEEDDCEAAACDEACBB     36/40          90.00          A    
104098    BCEAEEDDCEAAAEDBDEEB     34/40          85.00          B    
113882    BCEAEEDDCEAABBEACA B     33/40          82.50          B    
131418    BCEAEEDDCEAADACDC BB     32/40          80.00          B    
100658    BCEAEEDDCEAADBADA  B     32/40          80.00          B    
120675    BCEAEEDDCEAAADCCCCBB     34/40          85.00          B    
121188    BCEAEEDDCEAAADD BECB     33/40          82.50          B    
115615    BCEAEEDDCEAACBCDEEEB     33/40          82.50          B    
114161    BCEAAABBCEAAEDBABDAB     30/40          75.00          C    
122925    CCCCCCCCCCCBBBBBBBBB     26/40          65.00          D    
130714    BCEAEEDDCEAAEEAAC  B     31/40          77.50          C    
116337    CEAEEDDCEAA DEAEDBB      21/40          52.50          F    
109152    BCEAEEDDCEAADCEDA EB     34/40          85.00          B    
106249    BCEAEEDDCEAAECDCB  B     32/40          80.00          B    
108419    BCEAEEDDCEAAEEACBDCB     34/40          85.00          B    
111064    AEEDDCEAADCDBA DB        18/40          45.00          F    
115589    BCEAEEDDCEAA D B AAB     31/40          77.50          C    
128510    BCEAEEDDCEAA BBABCDB     34/40          85.00          B    
115495    BCEAEEDDCEAAA ACB BB     31/40          77.50          C    
106972    BCEAEEDDCEAADC AECAB     34/40          85.00          B    
127594    BCEAEEDDCEAACCAAABDB     35/40          87.50          B    
113428    BCEAEEDDCEAA   EE CB     30/40          75.00          C    
111759    BCEAEEDDCEAABBABB EB     34/40          85.00          B    
108166    BCEAEEDDCEAAAEEBDDDB     34/40          85.00          B    
103447    BCEAEEDDCEAA BD A DB     31/40          77.50          C    
112723    BCEAEEDDCEAACBDCDBCB     34/40          85.00          B    
119490    BCEAEEDDCEAAEBBDC EB     33/40          82.50          B    
115677    BCEAEEDDCEAACECEAD B     33/40          82.50          B    
129426    BCEAEEDDCEAAD BD BBB     32/40          80.00          B    
109508    BCEAEEDDCEAACEEEAAAB     34/40          85.00          B    
125128    BCEAEEDDCEAAEAA CBEB     32/40          80.00          B    
127465    BCEAEEDDCEAA DEABA B     31/40          77.50          C    
124901    AABBBBCCCCAAAABBBB       23/40          57.50          F    
116590    BCEAEEDDCEAABEEEBAAB     34/40          85.00          B    
112042    BCEAEEDDCEAAEADA DBB     32/40          80.00          B    
105651    BCEAEEDDCEAADCEEBDCB     35/40          87.50          B    
104472    BCEAEEDDCEAAADA  A B     30/40          75.00          C    
110938    BCEAEEDDCEAAAACDCBEB     33/40          82.50          B    
126063    BCEAEEDDCEAADA CDBEB     32/40          80.00          B    
107586    BCEAEEDDCEAAABADABBB     34/40          85.00          B    
112433    BCEAEEDDCEAADBCE BCB     33/40          82.50          B    
131982    BCEAEEDDCEAACEAEDCBB     34/40          85.00          B    
111647    BCEAEEDDCEAACDDCEAAB     33/40          82.50          B    
122015    BCEAEEDDCEAABCBBCCBB     38/40          95.00          A    
124474    BCEAEEDDCEAAAECECBCB     34/40          85.00          B    
117780    BCEAEEDDCEAAAAABBCCB     36/40          90.00          A    
108483    BCEAEEDDCEAA BAECD B     31/40          77.50          C    
101840    BCEAEEDDCEAAEC DAE B     33/40          82.50          B    
113210    BCEAEEDDCEAACBBAEBCB     35/40          87.50          B    
101620    BCEAEEDDCEAADEDBEE B     33/40          82.50          B    
120418    BCEAEEDDCEAAB AECBDB     33/40          82.50          B    
127967    BCEAEEDDCEAAADBDDABB     34/40          85.00          B    
113722    BCEAEEDDCEAA ABBDABB     34/40          85.00          B    
113716    BCEAEEDDCEAAADCEECBB     34/40          85.00          B    
115460    BCEBBBCCCDAABDDA C B     27/40          67.50          D    
114387    BCEAEEDDCEAACCCACEAB     34/40          85.00          B    
125249    BCEAEEDDCEAADB DBD B     31/40          77.50          C    
115678    BCEAEEDDCEAAD AABECB     33/40          82.50          B    
124081    BCEAEEDDCEAAD DAEDAB     32/40          80.00          B    
103093    BCEAEEDDCEAABBBDBEAB     35/40          87.50          B    
111191    BCEAEEDDCEAAAB CCEBB     32/40          80.00          B    
131577    BCEAEEDDCEAABEBAADEB     36/40          90.00          A    
100236    BCEAEEDDCEAAE CCEABB     32/40          80.00          B    
130180    BCEAEEDDCEAAEB  E CB     31/40          77.50          C    
116878    BCEAEEDDCEAA CDD ADB     32/40          80.00          B    
124750    BCEAEEDDCEAAAA  BCDB     32/40          80.00          B    
108896    BCEAEEEE     EEEACCB     25/40          62.50          D    
